# z  linear(z)  quadratic(z)  cos(z)  linear'(z)  quadratic'(z)  -sin(z)  integ_linear(z)  integ_quadratic(z)  sin(z)
2.08 -0.477746 -0.503269 -0.487482 -0.769994 -1.02826 -0.873133 0.854519 0.872781 0.873133
2.1 -0.493146 -0.523531 -0.504846 -0.769994 -0.997878 -0.863209 0.84481 0.862512 0.863209
2.12 -0.508546 -0.543184 -0.522008 -0.769994 -0.967493 -0.85294 0.834793 0.851844 0.85294
2.14 -0.523946 -0.56223 -0.538961 -0.769994 -0.937109 -0.84233 0.824468 0.840789 0.84233
2.16 -0.539346 -0.580669 -0.555699 -0.769994 -0.906724 -0.831383 0.813835 0.829359 0.831383
2.18 -0.554746 -0.598499 -0.572215 -0.769994 -0.87634 -0.820104 0.802894 0.817566 0.820104
2.2 -0.570146 -0.615722 -0.588501 -0.769994 -0.845955 -0.808496 0.791645 0.805423 0.808496
2.22 -0.585545 -0.632338 -0.604552 -0.769994 -0.81557 -0.796565 0.780088 0.792941 0.796565
2.24 -0.600945 -0.648345 -0.620362 -0.769994 -0.785186 -0.784316 0.768223 0.780134 0.784316
2.26 -0.616345 -0.663745 -0.635923 -0.769994 -0.754801 -0.771753 0.75605 0.767012 0.771753
2.28 -0.631745 -0.678537 -0.65123 -0.769994 -0.724417 -0.758881 0.743569 0.753588 0.758881
2.3 -0.647145 -0.692722 -0.666276 -0.769994 -0.694032 -0.745705 0.730781 0.739874 0.745705
2.32 -0.662545 -0.706299 -0.681056 -0.769994 -0.663648 -0.732231 0.717684 0.725883 0.732231
2.34 -0.677945 -0.719268 -0.695563 -0.769994 -0.633263 -0.718465 0.704279 0.711626 0.718465
2.36 -0.693345 -0.731629 -0.709793 -0.769994 -0.602878 -0.704411 0.690566 0.697116 0.704411
2.38 -0.708744 -0.743383 -0.723738 -0.769994 -0.572494 -0.690075 0.676545 0.682365 0.690075
2.4 -0.724144 -0.754529 -0.737394 -0.769994 -0.542109 -0.675463 0.662216 0.667385 0.675463
2.42 -0.739544 -0.765067 -0.750755 -0.769994 -0.511725 -0.660581 0.647579 0.652188 0.660581
2.44 -0.754944 -0.774998 -0.763815 -0.769994 -0.48134 -0.645435 0.632634 0.636786 0.645435
2.46 -0.770344 -0.784321 -0.77657 -0.769994 -0.450956 -0.630031 0.617381 0.621192 0.630031
2.48 -0.785744 -0.793036 -0.789015 -0.769994 -0.420571 -0.614374 0.601821 0.605418 0.614374
2.5 -0.801144 -0.801144 -0.801144 -0.377698 -0.390187 -0.598472 0.585952 0.589475 0.598472
2.52 -0.808698 -0.808937 -0.812952 -0.377698 -0.389187 -0.582331 0.569853 0.573374 0.582331
2.54 -0.816252 -0.816711 -0.824435 -0.377698 -0.388188 -0.565956 0.553604 0.557118 0.565956
2.56 -0.823805 -0.824465 -0.835589 -0.377698 -0.387189 -0.549355 0.537203 0.540706 0.549355
2.58 -0.831359 -0.832199 -0.846408 -0.377698 -0.38619 -0.532535 0.520652 0.524139 0.532535
2.6 -0.838913 -0.839912 -0.856889 -0.377698 -0.385191 -0.515501 0.503949 0.507418 0.515501
2.62 -0.846467 -0.847606 -0.867027 -0.377698 -0.384192 -0.498262 0.487095 0.490543 0.498262
2.64 -0.854021 -0.85528 -0.876818 -0.377698 -0.383193 -0.480823 0.47009 0.473514 0.480823
2.66 -0.861575 -0.862934 -0.886258 -0.377698 -0.382194 -0.463191 0.452934 0.456332 0.463191
2.68 -0.869129 -0.870568 -0.895344 -0.377698 -0.381195 -0.445375 0.435627 0.438997 0.445375
2.7 -0.876683 -0.878182 -0.904072 -0.377698 -0.380196 -0.42738 0.418169 0.421509 0.42738
2.72 -0.884237 -0.885776 -0.912438 -0.377698 -0.379196 -0.409214 0.40056 0.403869 0.409214
2.74 -0.891791 -0.89335 -0.92044 -0.377698 -0.378197 -0.390885 0.3828 0.386078 0.390885
2.76 -0.899345 -0.900904 -0.928073 -0.377698 -0.377198 -0.372399 0.364888 0.368136 0.372399
2.78 -0.906899 -0.908438 -0.935335 -0.377698 -0.376199 -0.353764 0.346826 0.350042 0.353764
2.8 -0.914453 -0.915952 -0.942222 -0.377698 -0.3752 -0.334988 0.328612 0.331798 0.334988
2.82 -0.922007 -0.923446 -0.948733 -0.377698 -0.374201 -0.316078 0.310248 0.313404 0.316078
2.84 -0.929561 -0.93092 -0.954865 -0.377698 -0.373202 -0.297041 0.291732 0.294861 0.297041
2.86 -0.937115 -0.938374 -0.960614 -0.377698 -0.372203 -0.277886 0.273065 0.276168 0.277886
2.88 -0.944669 -0.945808 -0.965979 -0.377698 -0.371204 -0.258619 0.254247 0.257326 0.258619
2.9 -0.952223 -0.953222 -0.970958 -0.377698 -0.370204 -0.239249 0.235278 0.238335 0.239249
2.92 -0.959777 -0.960616 -0.975549 -0.377698 -0.369205 -0.219784 0.216158 0.219197 0.219784
2.94 -0.967331 -0.96799 -0.979749 -0.377698 -0.368206 -0.20023 0.196887 0.199911 0.20023
2.96 -0.974885 -0.975344 -0.983557 -0.377698 -0.367207 -0.180596 0.177465 0.180478 0.180596
2.98 -0.982439 -0.982678 -0.986972 -0.377698 -0.366208 -0.16089 0.157892 0.160897 0.16089
3 -0.989992 -0.989992 -0.989992 0.107072 -0.365209 -0.14112 0.138168 0.141171 0.14112
3.02 -0.987851 -0.996919 -0.992617 0.107072 -0.327427 -0.121293 0.118389 0.1213 0.121293
3.04 -0.98571 -1.00309 -0.994844 0.107072 -0.289644 -0.101418 0.0986536 0.101299 0.101418
3.06 -0.983568 -1.0085 -0.996673 0.107072 -0.251862 -0.0815022 0.0789609 0.0811816 0.0815022
3.08 -0.981427 -1.01316 -0.998104 0.107072 -0.214079 -0.0615537 0.0593109 0.0609636 0.0615537
3.1 -0.979285 -1.01707 -0.999135 0.107072 -0.176297 -0.0415807 0.0397038 0.0406601 0.0415807
3.12 -0.977144 -1.02022 -0.999767 0.107072 -0.138514 -0.021591 0.0201395 0.020286 0.021591
3.14 -0.975002 -1.02261 -0.999999 0.107072 -0.100732 -0.00159265 0.000618037 -0.000143533 0.00159265
3.16 -0.972861 -1.02425 -0.999831 0.107072 -0.0629494 0.0184063 -0.0188606 -0.0206133 -0.0184063
3.18 -0.97072 -1.02513 -0.999263 0.107072 -0.0251669 0.0383979 -0.0382964 -0.0411083 -0.0383979
3.2 -0.968578 -1.02525 -0.998295 0.107072 0.0126155 0.0583741 -0.0576894 -0.0616133 -0.0583741
3.22 -0.966437 -1.02462 -0.996928 0.107072 0.0503979 0.078327 -0.0770395 -0.0821133 -0.078327
3.24 -0.964295 -1.02324 -0.995162 0.107072 0.0881804 0.0982486 -0.0963469 -0.102593 -0.0982486
3.26 -0.962154 -1.02109 -0.992998 0.107072 0.125963 0.118131 -0.115611 -0.123038 -0.118131
3.28 -0.960012 -1.0182 -0.990437 0.107072 0.163745 0.137966 -0.134833 -0.143432 -0.137966
3.3 -0.957871 -1.01454 -0.98748 0.107072 0.201528 0.157746 -0.154012 -0.163761 -0.157746
3.32 -0.95573 -1.01014 -0.984128 0.107072 0.23931 0.177462 -0.173148 -0.184009 -0.177462
3.34 -0.953588 -1.00497 -0.980382 0.107072 0.277093 0.197108 -0.192241 -0.204161 -0.197108
3.36 -0.951447 -0.999053 -0.976244 0.107072 0.314875 0.216675 -0.211291 -0.224203 -0.216675
3.38 -0.949305 -0.992377 -0.971715 0.107072 0.352658 0.236155 -0.230299 -0.244118 -0.236155
3.4 -0.947164 -0.984946 -0.966798 0.107072 0.39044 0.255541 -0.249264 -0.263893 -0.255541
3.42 -0.945022 -0.97676 -0.961494 0.107072 0.428222 0.274825 -0.268185 -0.283511 -0.274825
3.44 -0.942881 -0.967817 -0.955806 0.107072 0.466005 0.293998 -0.287064 -0.302958 -0.293998
3.46 -0.94074 -0.958119 -0.949735 0.107072 0.503787 0.313054 -0.305901 -0.322219 -0.313054
3.48 -0.938598 -0.947666 -0.943285 0.107072 0.54157 0.331985 -0.324694 -0.341278 -0.331985
3.5 -0.936457 -0.936457 -0.936457 0.565626 0.579352 0.350783 -0.343445 -0.36012 -0.350783
3.52 -0.925144 -0.924881 -0.929254 0.565626 0.578254 0.369441 -0.362061 -0.378733 -0.369441
3.54 -0.913832 -0.913327 -0.92168 0.565626 0.577156 0.387951 -0.38045 -0.397116 -0.387951
3.56 -0.902519 -0.901794 -0.913737 0.565626 0.576058 0.406306 -0.398614 -0.415267 -0.406306
3.58 -0.891207 -0.890284 -0.905429 0.565626 0.57496 0.424498 -0.416551 -0.433187 -0.424498
3.6 -0.879894 -0.878796 -0.896758 0.565626 0.573862 0.44252 -0.434262 -0.450878 -0.44252
3.62 -0.868582 -0.86733 -0.887729 0.565626 0.572764 0.460366 -0.451747 -0.468339 -0.460366
3.64 -0.857269 -0.855885 -0.878345 0.565626 0.571666 0.478027 -0.469005 -0.485572 -0.478027
3.66 -0.845957 -0.844463 -0.868609 0.565626 0.570568 0.495497 -0.486038 -0.502575 -0.495497
3.68 -0.834644 -0.833063 -0.858526 0.565626 0.569469 0.512769 -0.502844 -0.51935 -0.512769
3.7 -0.823331 -0.821684 -0.8481 0.565626 0.568371 0.529836 -0.519423 -0.535898 -0.529836
3.72 -0.812019 -0.810328 -0.837334 0.565626 0.567273 0.546691 -0.535777 -0.552218 -0.546691
3.74 -0.800706 -0.798993 -0.826234 0.565626 0.566175 0.563327 -0.551904 -0.568311 -0.563327
3.76 -0.789394 -0.787681 -0.814803 0.565626 0.565077 0.579738 -0.567805 -0.584178 -0.579738
3.78 -0.778081 -0.77639 -0.803046 0.565626 0.563979 0.595917 -0.58348 -0.599818 -0.595917
3.8 -0.766769 -0.765122 -0.790968 0.565626 0.562881 0.611858 -0.598928 -0.615233 -0.611858
3.82 -0.755456 -0.753875 -0.778573 0.565626 0.561783 0.627554 -0.614151 -0.630423 -0.627554
3.84 -0.744144 -0.74265 -0.765867 0.565626 0.560685 0.642999 -0.629147 -0.645389 -0.642999
3.86 -0.732831 -0.731448 -0.752855 0.565626 0.559587 0.658186 -0.643916 -0.660129 -0.658186
3.88 -0.721519 -0.720267 -0.739542 0.565626 0.558489 0.673111 -0.65846 -0.674647 -0.673111
3.9 -0.710206 -0.709108 -0.725932 0.565626 0.55739 0.687766 -0.672777 -0.68894 -0.687766
3.92 -0.698894 -0.697971 -0.712033 0.565626 0.556292 0.702146 -0.686868 -0.703011 -0.702146
3.94 -0.687581 -0.686856 -0.697848 0.565626 0.555194 0.716246 -0.700733 -0.716859 -0.716246
3.96 -0.676269 -0.675764 -0.683385 0.565626 0.554096 0.730058 -0.714371 -0.730485 -0.730058
3.98 -0.664956 -0.664693 -0.668648 0.565626 0.552998 0.743579 -0.727784 -0.74389 -0.743579
4 -0.653644 -0.653644 -0.653644 0.885696 0.5519 0.756802 -0.74097 -0.757073 -0.756802
4.02 -0.63593 -0.642339 -0.638378 0.885696 0.578604 0.769723 -0.753865 -0.770034 -0.769723
4.04 -0.618216 -0.630499 -0.622857 0.885696 0.605307 0.782336 -0.766407 -0.782763 -0.782336
4.06 -0.600502 -0.618126 -0.607087 0.885696 0.632011 0.794636 -0.778594 -0.79525 -0.794636
4.08 -0.582788 -0.605219 -0.591073 0.885696 0.658715 0.806618 -0.790427 -0.807485 -0.806618
4.1 -0.565074 -0.591778 -0.574824 0.885696 0.685418 0.818277 -0.801906 -0.819456 -0.818277
4.12 -0.54736 -0.577802 -0.558345 0.885696 0.712122 0.829609 -0.81303 -0.831152 -0.829609
4.14 -0.529646 -0.563293 -0.541642 0.885696 0.738826 0.840609 -0.8238 -0.842564 -0.840609
4.16 -0.511932 -0.548249 -0.524722 0.885696 0.765529 0.851273 -0.834216 -0.85368 -0.851273
4.18 -0.494218 -0.532672 -0.507593 0.885696 0.792233 0.861597 -0.844277 -0.864491 -0.861597
4.2 -0.476504 -0.51656 -0.490261 0.885696 0.818937 0.871576 -0.853984 -0.874984 -0.871576
4.22 -0.458791 -0.499914 -0.472732 0.885696 0.84564 0.881206 -0.863337 -0.885149 -0.881206
4.24 -0.441077 -0.482734 -0.455015 0.885696 0.872344 0.890484 -0.872336 -0.894977 -0.890484
4.26 -0.423363 -0.46502 -0.437115 0.885696 0.899047 0.899405 -0.880981 -0.904455 -0.899405
4.28 -0.405649 -0.446772 -0.419041 0.885696 0.925751 0.907967 -0.889271 -0.913574 -0.907967
4.3 -0.387935 -0.42799 -0.400799 0.885696 0.952455 0.916166 -0.897206 -0.922323 -0.916166
